,lat,lon
446,9.3867448,76.5762652
447,-1.30325275,36.82636768555869
448,53.46310955,-2.291386485054536
449,53.46310955,-2.291386485054536
450,10.38301,11.206567
451,-8.8887065,33.4370751
452,23.7644025,90.389015
453,39.3916991,140.0522489
456,51.5073219,-0.1276474
457,5.4330984,100.3964534
459,51.5073219,-0.1276474
461,54.596391,-5.9301829
463,53.4486075,-2.7359820790816323
466,54.7023545,-3.2765753
467,12.9767936,77.590082
468,53.4794892,-2.2451148
471,2.9225103,32.5156702
473,53.4794892,-2.2451148
477,53.4794892,-2.2451148
478,53.4794892,-2.2451148
480,31.5656822,74.3141829
481,32.30382,-64.7561647
484,53.5120412,-2.2434612
486,53.4794892,-2.2451148
487,51.5073219,-0.1276474
488,53.4794892,-2.2451148
489,6.6985605,-1.6233086
491,43.6534817,-79.3839347
492,53.4794892,-2.2451148
494,43.6858146,-79.7599337
495,,
496,53.4794892,-2.2451148
499,35.7806882,139.7800614
500,56.7861112,-4.1140518
502,38.1040864,-122.2566367
503,,
504,13.8162188,100.5601063
505,,
506,52.5310214,-1.2649062
510,41.8755616,-87.6244212
512,53.4631095,-2.2913864
513,-1.2648989,36.8372708
514,52.4796992,-1.9026911
515,52.59092285,1.7242354189325688
518,52.865196,-7.9794599
519,,
521,53.4794892,-2.2451148
522,-25.2800459,-57.6343814
523,53.4794892,-2.2451148
524,45.32887895,-122.9798253250404
525,53.46310955,-2.291386485054536
526,,
527,51.897077,-8.4654674
528,54.7023545,-3.2765753
529,53.4794892,-2.2451148
530,53.4794892,-2.2451148
533,10.9645549,79.37173036154906
534,38.8950368,-77.0365427
535,,
536,53.4794892,-2.2451148
537,28.6138954,77.2090057
538,,
539,9.6000359,7.9999721
540,53.4794892,-2.2451148
542,25.07428235,55.18853865430702
544,53.7907262,-2.2439196
546,38.7872666,-77.44589662266645
547,,
550,22.3511148,78.6677428
551,53.4794892,-2.2451148
552,52.6285694,1.2923049
555,11.83565105,75.64490544488862
556,,
557,54.8310454,-5.405540314586531
559,10.3528744,76.5120396
561,-33.928992,18.417396
562,9.6000359,7.9999721
563,54.9738474,-1.6131572
566,52.5310214,-1.2649062
567,11.41018075,79.67222017841891
568,53.4794892,-2.2451148
569,54.7023545,-3.2765753
570,,
571,37.1232245,-78.4927721
572,19.0785451,72.878176
573,52.5310214,-1.2649062
575,22.3511148,78.6677428
579,-26.706891,27.836271
583,52.5310214,-1.2649062
584,6.4550575,3.3941795
585,51.5073219,-0.1276474
587,44.78961355,-93.225586425
588,54.8310454,-5.405540314586531
589,40.7395087,-79.1053129
590,51.5073219,-0.1276474
591,43.7283874,-79.34914879325001
592,53.50652485,-2.3374401422576687
594,,
595,-1.3556484,36.7611963
597,51.3871701,0.5461611
599,-1.30325275,36.82636768555869
600,54.7023545,-3.2765753
601,13.0836939,80.270186
602,53.46310955,-2.291386485054536
603,22.3511148,78.6677428
604,52.6285694,1.2923049
605,54.7023545,-3.2765753
606,53.4794892,-2.2451148
607,51.2800275,1.0802533
610,,
611,52.1911849,-2.2206585
612,41.2587459,-95.9383758
613,51.456659,-0.9696512
615,36.3352772,27.9210066
617,25.3356491,83.0076292
618,54.7023545,-3.2765753
620,53.4794892,-2.2451148
621,25.6440845,85.906508
623,37.7790262,-122.419906
624,23.0216238,72.5797068
625,35.8885993,14.4476911
626,53.4794892,-2.2451148
630,40.7323594,-74.0052999
631,52.8246942,-2.0074546723348115
632,50.491472,-120.5996834
633,47.4979937,19.0403594
634,53.46310955,-2.291386485054536
636,54.7023545,-3.2765753
638,39.6262264,19.9036023
640,10.33104495,76.21497041861484
642,53.4794892,-2.2451148
643,-20.1560599,28.5887063
645,53.46310955,-2.291386485054536
646,54.7023545,-3.2765753
648,13.8162188,100.5601063
649,52.5310214,-1.2649062
652,38.8950368,-77.0365427
654,53.4794892,-2.2451148
655,51.6879012,-4.2796668
656,10.7758439,106.7017555
657,6.4550575,3.3941795
659,54.7023545,-3.2765753
660,53.4794892,-2.2451148
661,-33.928992,18.417396
663,22.5414185,88.35769124388872
664,53.4794892,-2.2451148
665,-1.30325275,36.82636768555869
666,52.6362,-1.1331969
667,48.1371079,11.5753822
668,-30.742778,30.450556
669,38.9742502,-94.6851702
670,53.407901,-2.160243
671,53.46246785,-2.2938827486798834
673,51.5073219,-0.1276474
677,52.9559076,-1.1557387
678,52.865196,-7.9794599
679,53.4877463,-2.2891921
680,53.4321092,-2.3901607
682,52.5847651,-2.127567
684,52.865196,-7.9794599
685,53.7974185,-1.5437941
686,53.4794892,-2.2451148
687,40.85149705,-73.0994258107431
688,-33.928992,18.417396
689,54.7023545,-3.2765753
691,28.1083929,84.0917139
692,39.7837304,-100.445882
695,-7.1280388,52.7448393
699,,
700,45.5236781,-122.67374985899238
701,11.8948389,8.5364136
702,,
704,,
705,51.5073219,-0.1276474
708,51.0,10.0
709,13.0836939,80.270186
710,51.0,10.0
712,40.5095967,44.1782362
713,33.3926893,-95.6749486
714,18.521428,73.8544541
718,52.865196,-7.9794599
720,53.4877463,-2.2891921
721,55.308366,12.1983778
723,52.9534193,-1.1496461
724,36.7014631,-118.755997
725,,
726,44.648618,-63.5859487
727,45.5202471,-122.674194
730,34.2331373,-102.4107493
731,53.4794892,-2.2451148
732,52.5310214,-1.2649062
734,51.5073219,-0.1276474
736,19.0785451,72.878176
737,22.3511148,78.6677428
738,43.6534817,-79.3839347
739,53.4139076,-2.3213704
740,53.7974185,-1.5437941
742,53.4794892,-2.2451148
743,54.5919266,-1.0196792
744,,
745,22.3511148,78.6677428
746,50.7255794,-3.5269497
747,-26.205,28.049722
748,52.5310214,-1.2649062
749,51.5049859,-3.5756674
750,9.0643305,7.4892974
754,41.8755616,-87.6244212
755,6.4274594,7.5377738
756,6.4550575,3.3941795
757,,
759,54.9852113,-1.5866744
760,53.4794892,-2.2451148
761,,
762,53.2744122,-9.0490601
763,,
765,,
766,14.4750607,-14.4529612
767,51.5073219,-0.1276474
768,54.8774406,-4.0638796
770,61.0666922,-107.991707
771,33.7680065,66.2385139
772,53.4794892,-2.2451148
773,53.4794892,-2.2451148
774,18.1850507,-77.3947693
776,-28.8166236,24.991639
777,37.3399964,-4.5811614
779,25.07428235,55.18853865430702
780,52.5310214,-1.2649062
782,6.4550575,3.3941795
784,53.4794892,-2.2451148
785,26.2965508,50.2099356
787,53.4794892,-2.2451148
788,,
789,51.5073219,-0.1276474
792,53.4794892,-2.2451148
795,53.6531915,-2.6294313
796,53.4794892,-2.2451148
798,6.4550575,3.3941795
799,19.0785451,72.878176
800,26.715364,-80.0532942
801,52.5310214,-1.2649062
803,52.2538614,5.2293456
805,52.865196,-7.9794599
806,39.7837304,-100.445882
807,13.8250489,-60.975036
809,53.4794892,-2.2451148
810,9.6000359,7.9999721
811,38.7872666,-77.44589662266645
812,53.27326035,-6.407076705243681
814,51.5073219,-0.1276474
815,40.4167047,-3.7035825
817,22.3511148,78.6677428
818,54.7023545,-3.2765753
819,42.6073975,25.4856617
820,6.5269033,3.5774005
824,,
825,-7.6977397,112.4914199
826,53.4794892,-2.2451148
827,-28.8166236,24.991639
828,53.4794892,-2.2451148
830,19.0785451,72.878176
832,54.7023545,-3.2765753
833,53.4794892,-2.2451148
834,39.04315822307692,-75.46005699615384
835,12.1917,8.49938
837,50.4652392,-3.5211361
838,55.6867243,12.5700724
845,52.2629766,-7.1150096
847,22.3511148,78.6677428
849,48.2432261,16.3757031
851,54.7023545,-3.2765753
852,,
854,5.5859456,7.0669651
855,53.4794892,-2.2451148
856,6.4550575,3.3941795
857,35.8885993,14.4476911
858,,
860,,
861,51.5073219,-0.1276474
863,-26.205,28.049722
864,53.5927543,-2.2972827
865,40.7127281,-74.0060152
867,6.4550575,3.3941795
868,32.7579739,-97.0669292
869,37.7874104,41.2573924
870,51.5073219,-0.1276474
873,48.2083537,16.3725042
874,7.75832225,4.575044734945106
878,53.3839662,-2.3525463
879,12.8947975,77.598757
880,51.4538022,-2.5972985
881,50.8465573,4.351697
882,51.5073219,-0.1276474
883,53.4794892,-2.2451148
886,43.6534817,-79.3839347
888,26.1403635,-80.2133808
890,54.7023545,-3.2765753
893,25.1145911,121.4840868
894,-26.205,28.049722
895,22.3511148,78.6677428
896,53.4224912,-2.1849941
898,43.7283874,-79.34914879325001
899,,
901,9.0643305,7.4892974
902,29.2733964,47.4979476
905,28.5707841,77.3271074
906,,
908,53.46310955,-2.291386485054536
910,9.0643305,7.4892974
912,12.9767936,77.590082
913,52.661252,-8.6301239
914,39.6262264,19.9036023
915,38.1943567,-81.3686944
917,28.1083929,84.0917139
919,51.5073219,-0.1276474
920,43.080889600000006,-89.37435682717393
922,8.4882267,76.947551
923,,
924,5.5571096,-0.2012376
925,8.133,4.25
926,51.5073219,-0.1276474
929,34.2331373,-102.4107493
933,10.30717075,11.373215278351738
934,,
938,59.8586126,17.6387436
940,51.5073219,-0.1276474
944,54.7023545,-3.2765753
947,9.0643305,7.4892974
948,51.8999691,-8.4709026
949,53.4794892,-2.2451148
951,54.7023545,-3.2765753
952,53.4794892,-2.2451148
953,0.3177137,32.5813539
955,52.5847949,-1.9822687
956,54.7023545,-3.2765753
957,8.0300284,-1.0800271
958,4.7676576,7.0188527
959,52.2928116,-3.73893
960,51.5073219,-0.1276474
961,4.5693754,102.2656823
962,-28.8166236,24.991639
963,34.2331373,-102.4107493
965,-37.8142176,144.9631608
966,37.8120779,13.3014383
967,54.9738474,-1.6131572
969,,
970,54.495797,8.8784857
971,51.5073219,-0.1276474
976,53.4794892,-2.2451148
977,5.7244148,-1.3761749
982,4.7629786,6.028898
983,53.46246785,-2.2938827486798834
984,12.7948109,79.0006410968549
986,52.865196,-7.9794599
988,54.4969713,-7.319246
989,8.4963657,4.5480484
990,45.9758392,2.2500524
992,51.5968712,-0.3770142
994,63.0993728,23.0569547
996,52.865196,-7.9794599
997,8.479004,-13.26795
998,51.5073219,-0.1276474
999,,
1000,50.4164223,-4.045267398068739
1001,22.3511148,78.6677428
1002,54.7023545,-3.2765753
1004,54.7023545,-3.2765753
1005,44.911095,-93.15530282468048
1007,53.4794892,-2.2451148
1009,53.7974185,-1.5437941
1012,51.5073219,-0.1276474
1013,53.5415797,-2.1147831
1015,-28.8166236,24.991639
1016,53.4794892,-2.2451148
1017,51.5073219,-0.1276474
1019,53.7944229,-1.7519186
1020,,
1021,6.4550575,3.3941795
1022,54.7023545,-3.2765753
1023,22.3511148,78.6677428
1024,22.3511148,78.6677428
1026,54.9738474,-1.6131572
1028,43.6418623,-79.4113442
1030,38.0614878,23.7136824
1032,5.5605929,-0.1824391
1034,27.2525998,86.671523179221
1035,6.4550575,3.3941795
1036,31.1041526,77.1709729
1040,40.7127281,-74.0060152
1041,-33.8698439,151.2082848
1043,53.46310955,-2.291386485054536
1053,-10.3333333,-53.2
1054,12.8947975,77.598757
1056,7.736891,5.2738326
1059,53.3806626,-1.4702278
1060,51.5073219,-0.1276474
1061,,
1062,6.4550575,3.3941795
1063,,
1064,10.4430243,-61.26130538878063
1066,-2.4833826,117.8902853
1067,58.9699675,5.7318101
1068,,
1069,52.4796992,-1.9026911
1071,8.0300284,-1.0800271
1076,,
1079,53.46310955,-2.291386485054536
1080,51.5073219,-0.1276474
1081,52.5050033,-1.964396123331272
1082,6.6985605,-1.6233086
1083,49.2608724,-123.113952
1084,54.0871383,-0.1964511
1085,50.7952778,21.4216667
1086,51.4568044,-0.1167959
1089,54.7023545,-3.2765753
1092,54.7023545,-3.2765753
1094,53.7974185,-1.5437941
1098,-1.30325275,36.82636768555869
1100,51.5073219,-0.1276474
1102,52.3727598,4.8936041
1103,52.5533796,13.3916482
1104,53.51638545,-2.0235190148351148
1106,19.0308262,73.0198537
1108,-26.205,28.049722
1111,-25.836389,28.180278
1113,53.4794892,-2.2451148
1115,51.50672785,-0.1252197847604274
1116,0.3177137,32.5813539
1117,53.407901,-2.160243
1118,17.360589,78.4740613
1119,54.7023545,-3.2765753
1120,52.865196,-7.9794599
1121,52.865196,-7.9794599
1122,-26.205,28.049722
1123,52.5310214,-1.2649062
1124,-1.30325275,36.82636768555869
1125,32.89651945,-97.0465220537124
1127,1.357107,103.8194992
1128,52.5310214,-1.2649062
1129,28.6138954,77.2090057
1130,35.996653,-78.9018053
1132,,
1133,9.0643305,7.4892974
1136,13.0836939,80.270186
1139,54.7023545,-3.2765753
1140,-1.30325275,36.82636768555869
1142,-1.30325275,36.82636768555869
1143,41.9903762,-71.523673
1144,1.357107,103.8194992
1145,-1.30325275,36.82636768555869
1146,51.5073219,-0.1276474
1147,6.4550575,3.3941795
1148,-26.205,28.049722
1149,52.865196,-7.9794599
1150,,
1152,-1.30325275,36.82636768555869
1154,,
1155,54.7023545,-3.2765753
1156,22.4135688,114.2101033
1157,,
1158,51.8896903,0.8994651
1159,51.5073219,-0.1276474
1160,-28.8166236,24.991639
1161,51.5210465,-0.1460189204361863
1163,21.5810088,39.1653612
1167,53.5120412,-2.2434612
1168,-1.6632409,31.4014928
1169,54.7023545,-3.2765753
1171,5.5273061,6.1784167
1173,,
1174,54.9738474,-1.6131572
1175,0.3177137,32.5813539
1177,52.5310214,-1.2649062
1178,43.6858146,-79.7599337
1179,54.7023545,-3.2765753
1180,-33.928992,18.417396
1181,54.7023545,-3.2765753
1182,19.0785451,72.878176
1183,,
1184,-37.8142176,144.9631608
1185,8.0300284,-1.0800271
1186,53.4794892,-2.2451148
1187,,
1188,,
1189,51.1638175,10.4478313
1190,50.3712659,-4.1425658
1192,28.6138954,77.2090057
1193,,
1194,53.4606363,-2.2769897
1195,52.5310214,-1.2649062
1196,13.0836939,80.270186
1197,52.6780419,-2.4514273
1198,52.5310214,-1.2649062
1199,53.4794892,-2.2451148
1200,51.8333313,-2.1666674
1201,24.4538352,54.3774014
1204,8.0300284,-1.0800271
1206,53.4794892,-2.2451148
1207,52.707755,-2.7540658
1208,9.6000359,7.9999721
1209,13.1500331,-59.5250305
1210,52.5310214,-1.2649062
1211,51.6195955,-3.9459248
1212,8.0300284,-1.0800271
1213,10.33104495,76.21497041861484
1215,53.46310955,-2.291386485054536
1220,,
1221,51.5073219,-0.1276474
1222,-1.30325275,36.82636768555869
1223,50.19383355,-5.42349135
1224,,
1229,53.4794892,-2.2451148
1230,52.19758465,0.1391537373687439
1231,19.0785451,72.878176
1232,,
1233,33.8959203,35.47843
1234,52.6362,-1.1331969
1235,51.3773408,0.0104811
1237,0.3177137,32.5813539
1238,53.4794892,-2.2451148
1239,14.4750607,-14.4529612
1241,52.865196,-7.9794599
1242,12.9767936,77.590082
1243,0.3177137,32.5813539
1244,9.6000359,7.9999721
1245,,
1246,53.3806626,-1.4702278
1248,11.5024338,17.7578122
1250,51.5073219,-0.1276474
1252,10.38301,11.206567
1253,51.5073219,-0.1276474
1254,53.4794892,-2.2451148
1255,53.4794892,-2.2451148
1256,45.1875602,5.7357819
1257,53.4071991,-2.99168
1258,34.2331373,-102.4107493
1261,51.6522794,5.9355695
1263,52.080985600000005,5.12768396945229
1264,50.3712659,-4.1425658
1265,54.9738474,-1.6131572
1266,5.5571096,-0.2012376
1268,31.79592425,35.21198075969497
1270,22.3511148,78.6677428
1271,33.683073949999994,-117.94479783055463
1272,43.7283874,-79.34914879325001
1273,53.4794892,-2.2451148
1274,6.4550575,3.3941795
1275,27.708317,85.3205817
1276,,
1279,,
1280,51.5073219,-0.1276474
1281,5.6346131,-0.1722619
1286,53.46310955,-2.291386485054536
1288,12.9767936,77.590082
1293,53.4794892,-2.2451148
1294,53.7229229,-1.8604874
1296,53.4877463,-2.2891921
1297,53.2078035,-2.8620552
1300,,
1304,0.3177137,32.5813539
1305,-4.05052,39.667169
1307,,
1308,9.931308,76.2674136
1309,53.4794892,-2.2451148
1310,53.4794892,-2.2451148
1311,55.9533456,-3.1883749
1312,22.3511148,78.6677428
1313,53.4794892,-2.2451148
1314,9.6000359,7.9999721
1315,9.6000359,7.9999721
1317,53.41841095,-2.3751701674287955
1318,53.46310955,-2.291386485054536
1320,18.53436755,73.89977934999999
1321,50.8490257,-1.2354298
1322,53.46310955,-2.291386485054536
1323,55.6867243,12.5700724
1325,-1.259493,29.9939868
1327,,
1328,17.360589,78.4740613
1329,52.2928116,-3.73893
1334,9.6000359,7.9999721
1336,51.5073219,-0.1276474
1337,54.6143136,-2.9420899468770427
1338,53.4794892,-2.2451148
1339,54.7023545,-3.2765753
1340,5.0322447,7.924791
1341,-24.9380555,-53.4492587
1344,52.3727598,4.8936041
1345,53.99391375,-0.4670971422129736
1346,50.9025349,-1.404189
1347,34.2331373,-102.4107493
1348,-6.19216045,106.82177999078786
1350,39.8123836,-121.6258073
1351,53.4794892,-2.2451148
1361,30.2072293,-93.2061609
1362,-32.8797222,27.3944444
1366,54.0484068,-2.7990345
1369,52.3727598,4.8936041
1370,51.5073219,-0.1276474
1371,9.6000359,7.9999721
1372,53.4794892,-2.2451148
1373,53.4794892,-2.2451148
1375,53.4794892,-2.2451148
1377,32.7579739,-97.0669292
1378,0.3177137,32.5813539
1380,52.2337172,21.071432235636493
1382,-14.5189121,27.5589884
1383,52.5847651,-2.127567
1385,1.720892,33.6193613
1389,53.6960957,-2.4665093
1394,5.7499721,-9.3658524
1395,-28.8166236,24.991639
1396,-28.8166236,24.991639
1397,9.0643305,7.4892974
1398,25.07428235,55.18853865430702
1400,53.445428,-2.3223051
1401,52.4796992,-1.9026911
1402,53.4794892,-2.2451148
1403,41.08190785,-85.22560545207106
1405,,
1406,22.3511148,78.6677428
1410,50.6080651,9.0284647
1413,1.5333554,32.2166578
1414,53.4794892,-2.2451148
1415,54.9738474,-1.6131572
1417,53.4794892,-2.2451148
1418,53.4794892,-2.2451148
1419,,
1421,-22.9110137,-43.2093727
1424,42.3347479,-84.1103678
1425,,
1426,52.5310214,-1.2649062
1428,,
1430,6.6985605,-1.6233086
1431,-1.4481149,36.971587
1433,37.5385087,-77.43428
1435,-33.8698439,151.2082848
1436,10.3825318,7.8533226
1438,33.7690164,-118.191604
1439,52.3990199,0.262039
1440,54.7023545,-3.2765753
1442,52.9559076,-1.1557387
1443,38.0872306,-102.6207497
1444,30.0443879,31.2357257
1445,26.4614625,-80.0728201
1447,53.4794892,-2.2451148
1448,29.4758481,-98.7529145
1451,48.1371079,11.5753822
1453,34.4420602,117.5295201
1454,-26.1930356,28.3082376
1455,-1.30325275,36.82636768555869
1457,60.5000209,9.0999715
1458,24.4769288,90.2934413
1459,14.3601126,100.5772104
1460,54.7023545,-3.2765753
1465,6.4550575,3.3941795
1466,39.6262264,19.9036023
1467,,
1469,,
1473,51.1729245,0.5147533300909553
1474,8.0300284,-1.0800271
1475,52.5310214,-1.2649062
1477,13.7524938,100.4935089
1478,51.4870754,-0.1716525639624825
1480,53.4794892,-2.2451148
1481,43.6534817,-79.3839347
1482,-7.3499098,108.1107502
1486,41.8961978,-87.6553579
1488,52.4796992,-1.9026911
1489,4.7676576,7.0188527
1490,22.5414185,88.35769124388872
1491,52.5310214,-1.2649062
1492,39.6262264,19.9036023
1494,19.0785451,72.878176
1496,50.6402809,4.6667145
1497,1.4297828,114.74104130383714
1498,52.5310214,-1.2649062
1499,39.6262264,19.9036023
1501,14.3601126,100.5772104
1504,,
1505,51.5375102,-0.1457031235537162
1506,,
1507,53.3806626,-1.4702278
1513,-37.8142176,144.9631608
1515,53.4794892,-2.2451148
1516,-16.4955455,-68.1336229
1517,52.2337172,21.071432235636493
1518,52.5310214,-1.2649062
1521,22.3511148,78.6677428
1523,-2.4833826,117.8902853
1524,,
1526,,
1527,12.8947975,77.598757
1528,53.4794892,-2.2451148
1529,51.0630273,-0.3295028
1530,,
1531,-28.8166236,24.991639
1532,,
1533,,
1534,-26.205,28.049722
1535,53.4794892,-2.2451148
1537,57.7072326,11.9670171
1538,6.4550575,3.3941795
1539,53.1443785,-1.1964165
1543,53.4794892,-2.2451148
1544,34.0536909,-118.242766
1546,5.5571096,-0.2012376
1548,49.2214561,-2.1358386
1550,52.5310214,-1.2649062
1551,52.3957533,22.007685797793343
1552,22.5414185,88.35769124388872
1554,8.0300284,-1.0800271
1555,28.1083929,84.0917139
1556,11.5024338,17.7578122
1557,1.5333554,32.2166578
1559,-15.4164124,28.2824793
1560,5.5571096,-0.2012376
